127.0.0.1 - - [04/Aug/2017:11:59:31 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:46:13 +0530] "GET /pvs-inventory/Body/inventory_transaction/areacode.jsp?count=a HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:46:13 +0530] "GET /pvs-inventory/Body/inventory_transaction/getcity.jsp?count=a HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:46:14 +0530] "GET /pvs-inventory/Body/inventory_transaction/areacode.jsp?count=Kolkata HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:46:14 +0530] "GET /pvs-inventory/Body/inventory_transaction/getcity.jsp?count=Kolkata HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:46:16 +0530] "GET /pvs-inventory/Body/inventory_transaction/salecode.jsp?count=k HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:46:17 +0530] "GET /pvs-inventory/Body/inventory_transaction/salecode.jsp?count=Ramkrishna HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:46:18 +0530] "GET /pvs-inventory/Body/inventory_transaction/paddress.jsp?count=ram HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:46:22 +0530] "GET /pvs-inventory/Body/inventory_transaction/meteriallistvalue.jsp?count=xbubunPQ0005bubun0 HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:47:32 +0530] "GET /pvs-inventory/Body/inventory_transaction/meteriallistvalue.jsp?count=penbubunPQ0005bubun0 HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:48:16 +0530] "GET /pvs-inventory/Body/inventory_transaction/meteriallistvalue.jsp?count=HOR%20500%20REFbubunPQ0005bubun0 HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:48:19 +0530] "GET /pvs-inventory/Body/inventory_transaction/meteriallistvalue.jsp?count=CYCLEbubunPQ0005bubun0 HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:50:15 +0530] "GET /pvs-inventory/Body/inventory_transaction/meteriallistvalue.jsp?count=penbubunPQ0005bubun0 HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:51:29 +0530] "GET /pvs-inventory/Body/inventory_transaction/meteriallistvalue.jsp?count=HOR%20500%20REFbubunPQ0005bubun0 HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:51:37 +0530] "GET /pvs-inventory/Body/inventory_transaction/meteriallistvalue.jsp?count=penbubunPQ0005bubun0 HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:55:37 +0530] "GET /pvs-inventory/Body/inventory_transaction/meteriallistvalue.jsp?count=HOR%20500%20REFbubunPQ0005bubun0 HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:55:41 +0530] "GET /pvs-inventory/Body/inventory_transaction/meteriallistvalue.jsp?count=CYCLEbubunPQ0005bubun0 HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [04/Aug/2017:12:59:57 +0530] "GET /pvs-inventory/Body/inventory_transaction/meteriallistvalue.jsp?count=penbubunPQ0005bubun0 HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [04/Aug/2017:13:00:48 +0530] "GET /pvs-inventory/Body/inventory_transaction/meteriallistvalue.jsp?count=CYCLEbubunPQ0005bubun0 HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [04/Aug/2017:13:03:09 +0530] "GET /pvs-inventory/Body/inventory_transaction/meteriallistvalue.jsp?count=penbubunPQ0005bubun0 HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [04/Aug/2017:13:04:11 +0530] "GET /pvs-inventory/Body/inventory_transaction/meteriallistvalue.jsp?count=CYCLEbubunPQ0005bubun0 HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [04/Aug/2017:13:11:06 +0530] "GET /pvs-inventory/Body/inventory_transaction/meteriallistvalue.jsp?count=penbubunPQ0005bubun0 HTTP/1.1" 200 2973
0:0:0:0:0:0:0:1 - - [04/Aug/2017:13:13:40 +0530] "GET /pvs-inventory/csalesmemeoentry HTTP/1.1" 200 119268
0:0:0:0:0:0:0:1 - - [04/Aug/2017:13:13:41 +0530] "GET /pvs-inventory/css/style2.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [04/Aug/2017:13:13:41 +0530] "GET /pvs-inventory/css/style2.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [04/Aug/2017:13:13:42 +0530] "GET /pvs-inventory/Body/inventory_transaction/getname.jsp?count= HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [04/Aug/2017:13:14:16 +0530] "GET /pvs-inventory/struts/themes/smoothness/images/ui-bg_glass_75_dadada_1x400.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2017:13:14:17 +0530] "GET /pvs-inventory/Body/inventory_transaction/areacode.jsp?count=a HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [04/Aug/2017:13:14:17 +0530] "GET /pvs-inventory/Body/inventory_transaction/getcity.jsp?count=a HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [04/Aug/2017:13:14:18 +0530] "GET /pvs-inventory/Body/inventory_transaction/areacode.jsp?count=Kolkata HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [04/Aug/2017:13:14:18 +0530] "GET /pvs-inventory/Body/inventory_transaction/getcity.jsp?count=Kolkata HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [04/Aug/2017:13:14:20 +0530] "GET /pvs-inventory/Body/inventory_transaction/salecode.jsp?count=a HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [04/Aug/2017:13:14:22 +0530] "GET /pvs-inventory/Body/inventory_transaction/salecode.jsp?count=SALES%20NAME%20NAME%201 HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [04/Aug/2017:13:14:23 +0530] "GET /pvs-inventory/Body/inventory_transaction/paddress.jsp?count=ram HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [04/Aug/2017:13:14:26 +0530] "GET /pvs-inventory/Body/inventory_transaction/meteriallistvalue.jsp?count=penbubunPQ0005bubun0 HTTP/1.1" 200 2975
0:0:0:0:0:0:0:1 - - [04/Aug/2017:13:16:51 +0530] "GET /pvs-inventory/Body/inventory_transaction/meteriallistvalue.jsp?count=CYCLEbubunPQ0005bubun0 HTTP/1.1" 200 4349
0:0:0:0:0:0:0:1 - - [04/Aug/2017:13:17:37 +0530] "GET /pvs-inventory/Body/inventory_transaction/meteriallistvalue.jsp?count=penbubunPQ0005bubun0 HTTP/1.1" 200 3004
0:0:0:0:0:0:0:1 - - [04/Aug/2017:13:33:30 +0530] "GET /pvs-inventory/Body/inventory_transaction/meteriallistvalue.jsp?count=CYCLEbubunPQ0005bubun0 HTTP/1.1" 200 4349
0:0:0:0:0:0:0:1 - - [04/Aug/2017:13:33:40 +0530] "GET /pvs-inventory/Body/inventory_transaction/meteriallistvalue.jsp?count=penbubunPQ0005bubun0 HTTP/1.1" 200 3004
0:0:0:0:0:0:0:1 - - [04/Aug/2017:13:46:29 +0530] "GET /pvs-inventory/csalesmemeoentry HTTP/1.1" 200 119268
0:0:0:0:0:0:0:1 - - [04/Aug/2017:13:46:31 +0530] "GET /pvs-inventory/css/style2.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [04/Aug/2017:13:46:31 +0530] "GET /pvs-inventory/css/style2.css HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [04/Aug/2017:13:46:32 +0530] "GET /pvs-inventory/struts/js/base/jquery.ui.button.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2017:13:46:32 +0530] "GET /pvs-inventory/struts/js/base/jquery.ui.mouse.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2017:13:46:32 +0530] "GET /pvs-inventory/struts/js/base/jquery.ui.resizable.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2017:13:46:32 +0530] "GET /pvs-inventory/struts/js/base/jquery.ui.draggable.min.js HTTP/1.1" 304 -
